run_index,repetition_index,R1,B1,R2,B2,log(R1/R2),log(B1/B2),R1 + R2,R/B total,B total
0,0,19119,88130,19077,88403,0.000955093,-0.001343233,38196,0.216367478,176533
0,7,19020,88519,19344,89254,-0.007335771,-0.003591189,38364,0.2158033,177773
0,1,19316,88981,19334,88716,-0.000404518,0.00129533,38650,0.217505079,177697
0,9,19200,88827,19476,89499,-0.006198537,-0.003273188,38676,0.216883685,178326
0,5,19292,88451,19387,89116,-0.002133357,-0.003252938,38679,0.217827637,177567
0,6,19301,89096,19116,88402,0.004182789,0.003396116,38417,0.216436242,177498
0,13,19209,88150,19308,88840,-0.002232534,-0.003386233,38517,0.217622465,176990
0,10,19127,88288,19360,89288,-0.005258495,-0.004891416,38487,0.21673537,177576
0,8,19027,87941,19474,89484,-0.010084847,-0.007553989,38501,0.216998732,177425
0,11,19174,88270,19289,89001,-0.00259699,-0.00358176,38463,0.216972883,177271
0,4,19088,88158,19427,89009,-0.007645314,-0.004172193,38515,0.217393758,177167
0,15,19132,88256,19102,88622,0.000681531,-0.001797307,38234,0.216160291,176878
0,3,18940,88054,19136,88659,-0.004471188,-0.002973739,38076,0.215468019,176713
0,14,19316,89042,19097,88069,0.004952049,0.004771841,38413,0.216886585,177111
0,2,18991,88025,19512,89763,-0.011753954,-0.008491325,38503,0.216566922,177788
0,12,19375,89137,19331,88888,0.00098739,0.001214879,38706,0.217418902,178025
0,16,19372,89171,19259,88645,0.002540727,0.002569393,38631,0.217252666,177816
0,18,19322,89347,19169,88877,0.00345262,0.002290588,38491,0.215969791,178224
0,23,19270,89010,19215,88210,0.001241326,0.003920979,38485,0.217159463,177220
0,20,19336,89170,19195,88125,0.003178521,0.005119637,38531,0.217327054,177295
0,19,19499,90117,18970,87261,0.011945008,0.01398654,38469,0.216875825,177378
0,21,19357,89140,19004,87851,0.007993028,0.00632592,38361,0.216739834,176991
0,17,19361,88173,19477,89445,-0.002594279,-0.006220451,38838,0.218660271,177618
0,24,19232,88687,19169,88995,0.001424993,-0.001505643,38401,0.216122061,177682
0,22,19162,88150,19582,90343,-0.00941621,-0.010672191,38744,0.217061734,178493
0,27,19596,89521,19004,87420,0.013322409,0.010314123,38600,0.218151813,176941
0,28,19328,88606,19320,88371,0.000179795,0.001153362,38648,0.218378659,176977
0,26,19352,88773,19010,88219,0.007743738,0.002718766,38362,0.21674426,176992
1,0,16439,76608,22436,102295,-0.135070036,-0.125580282,38875,0.217296524,178903
0,25,19595,90318,19125,87646,0.010543824,0.013042212,38720,0.217572093,177964
0,29,19186,88724,19259,89016,-0.001649293,-0.001426962,38445,0.216299089,177740
1,1,16421,76867,22400,101719,-0.134848417,-0.12166215,38821,0.217379862,178586
1,2,16597,77244,22378,101603,-0.129791676,-0.119041776,38975,0.2179237,178847
1,4,16494,77499,22183,100734,-0.128694289,-0.113879981,38677,0.217002463,178233
1,5,16345,77120,22150,100518,-0.131988806,-0.115076818,38495,0.216704759,177638
1,6,16473,76139,22573,102843,-0.136816583,-0.130567568,39046,0.218156016,178982
1,9,16443,77297,22319,101689,-0.132693675,-0.119111338,38762,0.216564424,178986
1,10,16371,76510,22306,100929,-0.134346489,-0.120297768,38677,0.217973501,177439
1,12,16633,77312,22255,100812,-0.126457011,-0.115265322,38888,0.218319822,178124
1,7,16281,76729,22421,101813,-0.138973902,-0.122843696,38702,0.216766923,178542
1,3,16393,76976,22066,100092,-0.129065175,-0.114044028,38459,0.217199042,177068
1,13,16496,77087,22588,101845,-0.136499131,-0.120958568,39084,0.218429347,178932
1,8,16318,76996,22436,101748,-0.138278503,-0.121057717,38754,0.216812872,178744
1,11,16486,77147,22265,101010,-0.130507404,-0.117045329,38751,0.217510398,178157
1,15,16385,76843,22150,100745,-0.130927285,-0.11761919,38535,0.216991013,177588
1,14,16385,77034,22137,101095,-0.130672319,-0.118047227,38522,0.216259003,178129
1,16,16163,76720,22340,101914,-0.140561196,-0.123325253,38503,0.215541274,178634
1,17,16472,76842,22385,101253,-0.133210765,-0.11980924,38857,0.218181308,178095
1,19,16663,77945,21953,99712,-0.119740683,-0.106959166,38616,0.217362671,177657
1,18,16400,77177,22206,101133,-0.131626487,-0.117404997,38606,0.216510571,178310
1,20,16381,76603,22460,102050,-0.137069342,-0.124567231,38841,0.217410287,178653
1,21,16582,77802,22120,100554,-0.125148212,-0.11140859,38702,0.21699298,178356
1,22,16275,76286,22310,101568,-0.136978573,-0.124312057,38585,0.216947609,177854
1,24,16433,77020,22549,102467,-0.137410431,-0.123980507,38982,0.217185646,179487
1,25,16341,76895,22323,101808,-0.135473929,-0.121883805,38664,0.216358987,178703
1,27,16394,76786,22114,101079,-0.129982375,-0.119378892,38508,0.216501279,177865
1,29,16362,77115,22272,101528,-0.13392283,-0.119446968,38634,0.216263722,178643
1,23,16712,78173,21908,99620,-0.117574305,-0.105289758,38620,0.217218901,177793
2,0,13750,66560,25438,114465,-0.267180265,-0.235459399,39188,0.216478387,181025
2,1,13719,65874,25664,115390,-0.272001891,-0.243454138,39383,0.217268735,181264
1,26,16409,76990,22254,101656,-0.132325969,-0.120698697,38663,0.216422422,178646
2,2,13701,66137,25653,115331,-0.272385895,-0.241501566,39354,0.216864681,181468
1,28,16512,77451,22256,101396,-0.129647433,-0.116993793,38768,0.216766286,178847
2,3,13746,67120,25399,114677,-0.266640279,-0.232624375,39145,0.215322585,181797
2,5,13844,65977,25560,115563,-0.266299259,-0.243426243,39404,0.217054093,181540
2,4,13795,66301,25628,115595,-0.268993011,-0.241418971,39423,0.216733738,181896
2,6,13774,66114,25621,114782,-0.269535998,-0.239580354,39395,0.217777065,180896
2,7,13664,66180,25633,116125,-0.273221584,-0.244198964,39297,0.215556348,182305
2,8,13607,65856,25561,115819,-0.273815456,-0.245184462,39168,0.21559378,181675
2,10,13303,64266,25558,116670,-0.283577275,-0.258977928,38861,0.214777601,180936
2,12,13697,66194,25122,113468,-0.263428756,-0.234054774,38819,0.216066837,179662
2,11,13721,66389,25356,114647,-0.266694979,-0.237266568,39077,0.215852096,181036
2,13,13822,66791,25243,113984,-0.261570079,-0.232125948,39065,0.216097359,180775
2,14,13784,66341,25405,115158,-0.265543935,-0.2395121,39189,0.215918545,181499
2,9,13776,66415,25712,115990,-0.271012725,-0.242154371,39488,0.216485294,182405
