net_type,run_index,repetition_index,mutation_rate,Sch 1,R1,M1,B1,Sch 2,R2,M2,B2,interaction,log(R1/R2),log(M1/M2),log(B1/B2),am,ar,ai,log(b),(log(M1/M2))^2,(log(R1/R2)) * (log(M1/M2)),(log(R1/R1))^2,Changeovers,A,B,C,G,B^2 - 4AC,Key
1,9,0,0.1,VI 45,331,1.6,1947,VI 95,121,0.533333333,463,0.208522325,0.437042623,0.477121255,0.623784961,0.668701231,0.860301986,-0.058858682,-0.001102761,0.227644692,0.208522325,0.191006255,441,-237.9257238,-160.7761209,-112.5456155,552.5406758,-81261.02705,9 0
1,1,0,0.1,VI 20,516,0.64516129,1415,VI 120,114,1.052631579,616,-0.139416662,0.65574485,-0.212608093,0.361175728,0.032974984,0.020541863,0.059535023,0.010877314,0.045202201,-0.139416662,0.430001309,436,19.45329262,32.99917648,52.49122938,9.022850308,,1 0
1,11,0,0.1,VI 70,181,0.64516129,764,VI 70,189,1.052631579,1048,0.003993467,-0.018783229,-0.212608093,-0.137267924,0.991979391,0.053426449,#N/A,#N/A,0.045202201,0.003993467,0.00035281,603,0.939516375,25.40163838,#N/A,#N/A,,11 0
1,8,0,0.1,VI 45,301,1.052631579,1447,VI 95,137,0.64516129,592,0.072679211,0.341845928,0.212608093,0.388146824,865.7516518,21,#N/A,#N/A,0.045202201,0.072679211,0.116858639,475,108.7338033,21,#N/A,#N/A,,8 0
1,12,0,0.1,VI 70,209,0.8,946,VI 70,181,0.8,895,0,0.062467711,0,0.024068101,7.413566742,0.059942094,#N/A,#N/A,0,0,0.003902215,569,210479.2521,13550.10788,#N/A,#N/A,,12 0
1,0,0,0.1,VI 20,479,0.533333333,1176,VI 120,127,1.6,790,-0.275075572,0.576531792,-0.477121255,0.17278023,,,,,0.227644692,-0.275075572,0.332388908,495,,,,,,0 0
1,13,0,0.1,VI 70,201,1.052631579,1102,VI 70,177,0.64516129,755,0.011740812,0.055222791,0.212608093,0.164234643,,,,,0.045202201,0.011740812,0.003049557,547,,,,,,13 0
1,3,0,0.1,VI 20,636,1.052631579,2359,VI 120,95,0.64516129,323,0.175557627,0.82573351,0.212608093,0.863525419,,,,,0.045202201,0.175557627,0.68183583,345,,,,,,3 0
1,5,0,0.1,VI 45,271,0.533333333,907,VI 95,153,1.6,1006,-0.118458644,0.24827786,-0.477121255,-0.044990694,,,,,0.227644692,-0.118458644,0.061641896,546,,,,,,5 0
1,14,0,0.1,VI 70,217,1.6,1393,VI 70,179,0.533333333,656,0.039890535,0.083606703,0.477121255,0.327047277,,,,,0.227644692,0.039890535,0.006990081,511,,,,,,14 0
1,10,0,0.1,VI 70,165,0.533333333,580,VI 70,238,1.6,1427,0.075906658,-0.159093013,-0.477121255,-0.39099598,,,,,0.227644692,0.075906658,0.025310587,484,,,,,,10 0
1,2,0,0.1,VI 20,593,0.8,1875,VI 120,98,0.8,428,0,0.781828618,0,0.641557503,,,,,0,0,0.611255987,410,,,,,,2 0
1,7,0,0.1,VI 45,294,0.8,1156,VI 95,141,0.8,680,0,0.319128218,0,0.230448921,,,,,0,0,0.101842819,500,,,,,,7 0
1,6,0,0.1,VI 45,245,0.64516129,902,VI 95,153,1.052631579,836,-0.043472966,0.204474654,-0.212608093,0.03300026,,,,,0.045202201,-0.043472966,0.041809884,533,,,,,,6 0
1,4,0,0.1,VI 20,693,1.6,3341,VI 120,75,0.533333333,194,0.460742623,0.965671971,0.477121255,1.236074746,,,,,0.227644692,0.460742623,0.932522356,255,,,,,,4 0
1,15,0,0.1,VI 95,123,0.533333333,433,VI 45,324,1.6,1890,0.200696236,-0.420639899,-0.477121255,-0.639973908,,,,,0.227644692,0.200696236,0.176937924,426,,,,,,15 0
1,16,0,0.1,VI 95,139,0.64516129,563,VI 45,312,1.052631579,1447,0.074655162,-0.351139794,-0.212608093,-0.409960136,,,,,0.045202201,0.074655162,0.123299155,531,,,,,,16 0
1,24,0,0.1,VI 120,107,1.6,790,VI 20,457,0.533333333,1107,-0.300840421,-0.630532422,0.477121255,-0.14652053,,,,,0.227644692,-0.300840421,0.397571136,484,,,,,,24 0
1,17,0,0.1,VI 95,150,0.8,676,VI 45,278,0.8,1164,0,-0.267953537,0,-0.236006284,,,,,0,0,0.071799098,565,,,,,,17 0
1,23,0,0.1,VI 120,117,1.052631579,567,VI 20,507,0.64516129,1466,-0.135393532,-0.636822098,0.212608093,-0.412550911,,,,,0.045202201,-0.135393532,0.405542384,513,,,,,,23 0
1,19,0,0.1,VI 95,174,1.6,1209,VI 45,246,0.533333333,733,-0.07175229,-0.150385859,0.477121255,0.217322326,,,,,0.227644692,-0.07175229,0.022615907,536,,,,,,19 0
1,22,0,0.1,VI 120,103,0.8,463,VI 20,566,0.8,1875,0,-0.739979206,0,-0.607420281,,,,,0,0,0.547569226,393,,,,,,22 0
1,18,0,0.1,VI 95,159,1.052631579,855,VI 45,258,0.64516129,929,-0.044695022,-0.210222582,0.212608093,-0.036049599,,,,,0.045202201,-0.044695022,0.044193534,538,,,,,,18 0
1,21,0,0.1,VI 120,92,0.64516129,319,VI 20,620,1.052631579,2346,0.176167887,-0.828603862,-0.212608093,-0.866537325,,,,,0.045202201,0.176167887,0.68658436,336,,,,,,21 0
1,20,0,0.1,VI 120,74,0.533333333,178,VI 20,754,1.6,3687,0.481004843,-1.008139626,-0.477121255,-1.316253135,,,,,0.227644692,0.481004843,1.016345506,224,,,,,,20 0
