net_type,run_index,repetition_index,mutation_rate,Sch 1,R1,B1,Sch 2,R2,B2,Larger Ratio/Smaller Ratio,Preference for Smaller Ratio
1,27,0,0.1,VR 10,92,893,VR 11,58,809,1.1,0.524676851
1,28,0,0.1,VR 10,87,966,VR 12.5,59,781,1.25,0.552947911
1,29,0,0.1,VR 10,93,881,VR 15,54,792,1.5,0.526598924
1,30,0,0.1,VR 10,68,823,VR 20,50,820,2,0.500912964
1,31,0,0.1,VR 10,80,983,VR 30,36,746,3,0.568536726
1,32,0,0.1,VR 10,71,880,VR 40,17,730,4,0.546583851
1,33,0,0.1,VR 10,97,954,VR 50,17,729,5,0.56684492
1,34,0,0.1,VR 10,92,1020,VR 100,5,719,10,0.586543991
1,35,0,0.1,VR 10,113,1092,VR 200,0,664,20,0.621867882
1,36,0,0.1,VR 15,69,901,VR 16.5,37,719,1.1,0.55617284
1,37,0,0.1,VR 15,53,892,VR 18.75,30,802,1.25,0.526564345
1,38,0,0.1,VR 15,47,807,VR 22.5,41,788,1.5,0.505956113
1,39,0,0.1,VR 15,49,807,VR 30,29,812,2,0.498455837
1,40,0,0.1,VR 15,45,822,VR 45,22,817,3,0.50152532
1,41,0,0.1,VR 15,56,897,VR 60,13,743,4,0.54695122
1,42,0,0.1,VR 15,59,906,VR 75,9,763,5,0.542840024
1,43,0,0.1,VR 15,44,851,VR 150,5,724,10,0.54031746
1,44,0,0.1,VR 15,63,914,VR 300,5,750,20,0.549278846
1,0,0,0.1,VR 2,575,1565,VR 2.2,670,1759,1.1,0.470818291
1,1,0,0.1,VR 2,1116,2811,VR 2.5,413,1207,1.25,0.699601792
1,2,0,0.1,VR 2,1291,3330,VR 3,156,573,1.5,0.853189854
1,3,0,0.1,VR 2,1386,3445,VR 4,85,387,2,0.899008351
1,4,0,0.1,VR 2,1397,3641,VR 6,50,338,3,0.915054034
1,5,0,0.1,VR 2,1405,3644,VR 8,27,277,4,0.929354756
1,6,0,0.1,VR 2,1405,3596,VR 10,27,263,5,0.931847629
1,7,0,0.1,VR 2,1442,3807,VR 20,17,259,10,0.936301033
1,8,0,0.1,VR 2,1767,4355,VR 40,3,181,20,0.960097002
1,9,0,0.1,VR 3,434,1510,VR 3.3,340,1212,1.1,0.554739162
1,10,0,0.1,VR 3,358,1254,VR 3.75,236,1006,1.25,0.554867257
1,11,0,0.1,VR 3,448,1585,VR 4.5,179,844,1.5,0.652531906
1,12,0,0.1,VR 3,545,1945,VR 6,82,553,2,0.778622898
1,13,0,0.1,VR 3,538,1898,VR 9,54,551,3,0.775010208
1,14,0,0.1,VR 3,528,1956,VR 12,41,477,4,0.803945746
1,15,0,0.1,VR 3,591,2132,VR 15,31,453,5,0.824758221
1,16,0,0.1,VR 3,633,2153,VR 30,16,392,10,0.845972495
1,17,0,0.1,VR 3,499,1862,VR 60,9,471,20,0.798114016
1,18,0,0.1,VR 5,159,906,VR 5.5,163,1017,1.1,0.471138846
1,19,0,0.1,VR 5,169,1022,VR 6.25,116,803,1.25,0.56
1,20,0,0.1,VR 5,202,1104,VR 7.5,107,752,1.5,0.594827586
1,21,0,0.1,VR 5,191,1093,VR 10,66,730,2,0.599561163
1,22,0,0.1,VR 5,192,1121,VR 15,49,738,3,0.603012372
1,23,0,0.1,VR 5,287,1418,VR 20,21,588,4,0.706879362
1,24,0,0.1,VR 5,218,1230,VR 25,20,636,5,0.659163987
1,25,0,0.1,VR 5,264,1376,VR 50,15,647,10,0.680177954
1,26,0,0.1,VR 5,222,1309,VR 100,6,564,20,0.698878804
